id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
366,2,射手座,,,,,,600.0,,Finding myself.
367,1,牡羊座,Apple,,65.0,5.0,,1000.0,3,cute
368,1,處女座,Apple,,63.0,,98.0,258.0,203,A little sleepy.
369,2,摩羯座,Android,,,4.0,150.0,1061.0,,nice to meet you
370,1,雙魚座,Android,173.0,70.0,1.0,92.0,100.0,1,Nice
371,1,天蠍座,Apple,182.0,60.0,4.0,180.0,600.0,2,Industrious
372,2,,,168.0,60.0,3.0,132.0,300.0,,I am a little fat
373,2,,Apple,,,,150.0,500.0,2,Happy girl
374,2,金牛座,Android,166.0,55.0,3.0,120.0,555.0,6,Liberator
375,1,金牛座,Apple,174.0,70.0,2.0,199.0,0.0,9999,Q^Q
376,1,水瓶座,Android,169.0,60.0,3.0,120.0,233.0,3,I'm friendly
377,1,牡羊座,Android,171.0,63.0,5.0,131.0,200.0,0.000565,no girlfriend since 1993
378,1,摩羯座,Apple,179.0,78.0,4.0,136.0,2000.0,,Programmer with coffee
379,1,射手座,Apple,171.0,49.0,2.0,100.0,675.0,99.4,Just wake up
380,1,水瓶座,,166.0,70.0,,110.0,400.0,14.32,I am a man with power to breath!
381,1,天秤座,Android,200.0,10.0,1.0,50.0,0.0,1000,Free
382,1,雙魚座,Apple,169.0,70.0,4.0,126.0,482.0,0.000351,Alive
383,1,雙子座,Android,165.0,70.0,5.0,200.0,100000.0,0.5,test
384,1,射手座,Android,182.0,75.0,5.0,87.0,253.0,1,Live or die is a big question
385,1,天秤座,,171.0,60.0,4.0,,,0,Hi I am AI
386,1,巨蟹座,Apple,,76.0,5.0,120.0,,5.4,Human being
387,1,,Apple,,55.0,4.0,120.0,,0.56,I am a sunshine boy.
388,1,天蠍座,Android,163.0,52.0,,120.0,800.0,5,God Hand
389,1,摩羯座,Android,173.0,67.0,,100.0,,100,I'm the boss.
390,2,處女座,Apple,168.0,54.0,,,600.0,4,"Be sponge, be brave."
391,1,射手座,Android,,,5.0,123.0,500.0,,I am a wise man
392,1,天蠍座,Apple,168.0,58.0,4.0,126.0,381.0,22.5,simple
393,1,,Android,176.0,,,100.0,,,a man
394,1,處女座,Android,172.0,60.0,3.0,130.0,722.0,1,Do everything hard.
395,2,雙魚座,Apple,162.0,59.0,5.0,180.0,1780.0,0.136,All is well!
396,2,天秤座,Android,157.0,48.0,3.0,130.0,450.0,2,I am honest to my friends.
397,2,天秤座,Android,150.0,80.0,3.0,85.0,2.0,1,Kindness
398,2,天秤座,Android,150.0,80.0,3.0,85.0,2.0,1,Kindness
399,1,獅子座,,,,5.0,,471.0,,handsome boy
400,2,牡羊座,Android,155.0,50.0,5.0,101.0,456.0,7.06,I don't know.
401,2,金牛座,Apple,169.0,53.0,4.0,87.0,324.0,0.1,Free
402,1,天蠍座,Android,169.0,72.0,3.0,87.0,550.0,0.1,I'm a nerd.
403,1,,,176.0,70.0,4.0,,330.0,,Hmm
404,1,水瓶座,Apple,,80.0,3.0,180.0,300.0,5,Cute guy with handsome face.
405,1,雙子座,Android,170.0,,,,,,Positive
406,1,金牛座,Android,170.0,68.0,3.0,100.0,400.0,0.087,Ggggggggg
407,1,巨蟹座,Apple,173.0,74.0,3.0,,700.0,,Hot and attractive
408,1,射手座,Android,175.0,78.0,,50.0,,1,I am a boy
409,1,牡羊座,Apple,182.0,70.0,3.0,120.0,828.0,0.9,gorgeous
410,2,射手座,Android,162.0,55.0,3.0,110.0,500.0,2,Born with an adventurous spirit
411,1,雙魚座,Android,186.0,67.0,2.0,110.0,400.0,0.1,Incredible
412,1,摩羯座,Apple,185.0,75.0,3.0,138.0,365.0,12,Eternal return
413,2,處女座,,154.0,51.0,3.0,,347.0,0,foodie
414,1,摩羯座,Android,174.5,,3.0,110.0,488.0,4,I am Mike
415,2,牡羊座,Apple,155.0,63.0,5.0,200.0,1681.0,2,Happy
416,2,巨蟹座,Android,170.0,53.0,5.0,87.0,1183.0,0.0000299,Good
417,1,獅子座,Android,170.0,65.0,,120.0,,1,I am a infinity man
418,2,雙魚座,Android,158.0,47.0,3.0,115.0,1330.0,5.8,Awesome
419,1,處女座,Android,166.0,66.0,4.0,90.0,1000.0,1,I hope i am a super hero.
420,1,牡羊座,Android,176.0,65.0,4.0,87.0,1300.0,2,God damn dope
421,1,天秤座,Apple,174.0,72.0,,,,,Sunny
422,2,天蠍座,Apple,167.0,50.0,3.0,180.0,483.0,10,Light
423,1,雙魚座,Android,,68.0,3.0,66.0,300.0,,super 666666
